,dataset,algorithm,base_classifier,accuracy,hamming_loss,recall,precision,f1
0,yeast,BR,KNN,0.2128099173553719,0.20336481700118064,0.612621359223301,0.6747074709835384,0.5837579143599806
1,yeast,CC,KNN,0.2396694214876033,0.2101534828807556,0.6199029126213592,0.6926085902413103,0.5705711197262655
2,yeast,CC_scikit,KNN,0.2396694214876033,0.2101534828807556,0.6199029126213592,0.6926085902413103,0.5705711197262655
3,yeast,CC grid search,KNN,0.25,0.21694214876033058,0.6266990291262136,0.5917427306055125,0.5585856136850568
4,yeast,BR,Decision Tree,0.03925619834710744,0.2702184179456907,0.5485436893203883,0.5310579177379713,0.5390454529088575
5,yeast,CC,Decision Tree,0.09917355371900827,0.28202479338842973,0.5466019417475728,0.5466517489373757,0.5363498337041281
6,yeast,CC_scikit,Decision Tree,0.08884297520661157,0.28733766233766234,0.5402912621359224,0.548953816350402,0.5275912249988028
7,yeast,CC grid search,Decision Tree,0.1012396694214876,0.2929456906729634,0.537864077669903,0.5527372498707086,0.5493611539588551
8,yeast,BR,Ridge,0.15495867768595042,0.19760920897284534,0.579611650485437,0.6929598137000854,0.5705880436600206
9,yeast,CC,Ridge,0.17768595041322313,0.21620425029515938,0.5626213592233009,0.7044765159196071,0.5115525644362939
10,yeast,CC_scikit,Ridge,0.17768595041322313,0.21620425029515938,0.5626213592233009,0.7044765159196071,0.5115525644362939
11,yeast,CC grid search,Ridge,0.19421487603305784,0.21354781582054308,0.5985436893203884,0.6438125313045179,0.49682471993772637
12,yeast,BR,SVM,0.18801652892561985,0.18654073199527746,0.5771844660194175,0.7565504289505557,0.5698747358141297
13,yeast,CC,SVM,0.22107438016528927,0.2001180637544274,0.5868932038834952,0.7117005678912883,0.4561724347298118
14,yeast,CC_scikit,SVM,0.22107438016528927,0.2001180637544274,0.5868932038834952,0.7117005678912883,0.4561724347298118
15,yeast,CC grid search,SVM,0.2334710743801653,0.20484061393152303,0.6330097087378641,0.6540815382887792,0.5540218935591688
16,yeast,BR,GaussianNB,0.09917355371900827,0.30283353010625735,0.6004854368932039,0.5857844558149302,0.6161288323881446
17,yeast,CC,GaussianNB,0.09090909090909091,0.31729634002361273,0.5878640776699029,0.5897558958931883,0.6216952725082806
18,yeast,CC_scikit,GaussianNB,0.09090909090909091,0.31729634002361273,0.5878640776699029,0.5897558958931883,0.6216952725082806
19,yeast,CC grid search,GaussianNB,0.08677685950413223,0.3285123966942149,0.570873786407767,0.5958833417332753,0.5868156841241727
20,Scene,BR,KNN,0.6701244813278008,0.08575380359612725,0.697265625,0.9481671265273945,0.7714562569213731
21,Scene,CC,KNN,0.6908713692946058,0.09370677731673582,0.70703125,0.9481671265273945,0.7714562569213731
22,Scene,CC_scikit,KNN,0.6908713692946058,0.09370677731673582,0.70703125,0.9481671265273945,0.7714562569213731
23,Scene,CC grid search,KNN,0.7116182572614108,0.08644536652835408,0.732421875,0.8840468547063003,0.7870923628000217
24,Scene,BR,Decision Tree,0.44398340248962653,0.12655601659751037,0.630859375,0.6895018498942918,0.681857979675876
25,Scene,CC,Decision Tree,0.491701244813278,0.13831258644536654,0.603515625,0.6907999054189384,0.6734259935834045
26,Scene,CC_scikit,Decision Tree,0.49377593360995853,0.13865836791147995,0.609375,0.6869867051553098,0.6746710921432265
27,Scene,CC grid search,Decision Tree,0.5145228215767634,0.13796680497925312,0.62890625,0.6694796061884669,0.6476963899405084
28,Scene,BR,Ridge,0.5186721991701245,0.09785615491009682,0.56640625,0.8819190269722395,0.7320736434108528
29,Scene,CC,Ridge,0.6390041493775933,0.10926694329183956,0.671875,0.8819190269722395,0.7320736434108528
30,Scene,CC_scikit,Ridge,0.6390041493775933,0.10926694329183956,0.671875,0.8819190269722395,0.7320736434108528
31,Scene,CC grid search,Ridge,0.6265560165975104,0.10961272475795297,0.66015625,0.732687720130892,0.7263736785231668
32,Scene,BR,SVM,0.6680497925311203,0.06673582295988935,0.697265625,0.9264109290379102,0.818662133065734
33,Scene,CC,SVM,0.7406639004149378,0.07641770401106501,0.755859375,0.9264109290379102,0.818662133065734
34,Scene,CC_scikit,SVM,0.7406639004149378,0.07641770401106501,0.755859375,0.9264109290379102,0.818662133065734
35,Scene,CC grid search,SVM,0.7510373443983402,0.06950207468879668,0.7734375,0.8333438699480696,0.8389083045939916
36,Scene,BR,GaussianNB,0.16390041493775934,0.22786998616874135,0.853515625,0.4765166835187058,0.5951721534279674
37,Scene,CC,GaussianNB,0.2946058091286307,0.20504840940525587,0.62890625,0.4663868341227183,0.6005164885104028
38,Scene,CC_scikit,GaussianNB,0.2946058091286307,0.20504840940525587,0.62890625,0.4663868341227183,0.6005164885104028
39,Scene,CC grid search,GaussianNB,0.3049792531120332,0.20055325034578148,0.642578125,0.5940064979480163,0.47637715308926837
40,Emotions,BR,KNN,0.2773109243697479,0.2030812324929972,0.6221198156682027,0.5831697054698457,0.5421195652173914
41,Emotions,CC,KNN,0.2605042016806723,0.22969187675070027,0.6451612903225806,0.5565217391304348,0.5217391304347826
42,Emotions,CC_scikit,KNN,0.2605042016806723,0.22969187675070027,0.6451612903225806,0.5565217391304348,0.5217391304347826
43,Emotions,CC grid search,KNN,0.3025210084033613,0.21288515406162464,0.6682027649769585,0.5783721042704455,0.5314172240802676
44,Emotions,BR,Decision Tree,0.16806722689075632,0.2507002801120448,0.5806451612903226,0.5372282608695651,0.4773288009211032
45,Emotions,CC,Decision Tree,0.2184873949579832,0.2549019607843137,0.6267281105990783,0.5363984674329502,0.5107653531093984
46,Emotions,CC_scikit,Decision Tree,0.19327731092436976,0.24649859943977592,0.5806451612903226,0.5306535921228575,0.507596751075012
47,Emotions,CC grid search,Decision Tree,0.18487394957983194,0.2647058823529412,0.5852534562211982,0.48385093167701865,0.44139182271755323
48,Emotions,BR,Ridge,0.3025210084033613,0.18347338935574228,0.6129032258064516,0.6096618357487922,0.4707556935817806
49,Emotions,CC,Ridge,0.31092436974789917,0.20028011204481794,0.6589861751152074,0.6096618357487922,0.4707556935817806
50,Emotions,CC_scikit,Ridge,0.31092436974789917,0.20028011204481794,0.6589861751152074,0.6096618357487922,0.4707556935817806
51,Emotions,CC grid search,Ridge,0.3277310924369748,0.20028011204481794,0.695852534562212,0.580546265328874,0.5559538032656313
52,Emotions,BR,SVM,0.31932773109243695,0.17507002801120447,0.6129032258064516,0.6596273291925466,0.45955510616784634
53,Emotions,CC,SVM,0.35294117647058826,0.19187675070028012,0.6820276497695853,0.6596273291925466,0.45955510616784634
54,Emotions,CC_scikit,SVM,0.35294117647058826,0.19187675070028012,0.6820276497695853,0.6596273291925466,0.45955510616784634
55,Emotions,CC grid search,SVM,0.35294117647058826,0.19327731092436976,0.6820276497695853,0.5421195652173914,0.5391304347826087
56,Emotions,BR,GaussianNB,0.23529411764705882,0.242296918767507,0.7327188940092166,0.5491990846681922,0.5633802816901409
57,Emotions,CC,GaussianNB,0.2184873949579832,0.23669467787114845,0.7327188940092166,0.5391304347826087,0.5574746873138773
58,Emotions,CC_scikit,GaussianNB,0.2184873949579832,0.23669467787114845,0.7327188940092166,0.5391304347826087,0.5574746873138773
59,Emotions,CC grid search,GaussianNB,0.25210084033613445,0.24369747899159663,0.6820276497695853,0.48987616378920734,0.47467721908722904
